Jumlah Bulan Laporan,10,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,2025,,,,,,,,,,,,,,,,,,,
,PROVINSI SUMATERA SELATAN,,,,,,,,,,,,,,,,,,,
,KAB. BANYUASIN,KAB. EMPAT LAWANG,KAB. LAHAT,KAB. MUARA ENIM,KAB. MUSI BANYUASIN,KAB. MUSI RAWAS,KAB. MUSI RAWAS UTARA,KAB. OGAN ILIR,KAB. OGAN KOMERING ILIR,KAB. OGAN KOMERING ULU,KAB. OGAN KOMERING ULU SELATAN,KAB. OGAN KOMERING ULU TIMUR,KAB. PENUKAL ABAB LEMATANG ILIR,KOTA LUBUK LINGGAU,KOTA PAGAR ALAM,KOTA PALEMBANG,KOTA PRABUMULIH,All,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BAHAN KIMIA, FARMASI, KOSMETIK DAN YBDI",102370385,48402245,280095475,1215662558,683664532,,133229201,7492213,1916599302,3779530744,,7139336,77117983,2812298517,899123178,12075414844,1008287877,25046428390,,
PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BARANG BEKAS PERLENGKAPAN RUMAH TANGGA,,,807420575,610699629,62744156,,,,2172147339,261986491,,,,724214036,110623499,11283567053,377039373,16410442151,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BARANG KERAJINAN, MAINAN ANAK-ANAK DAN LUKISAN",,6581840,424579497,276083746,205493241,,,173106069,2337368712,1022460307,,,,496519959,289003906,5484956285,381072905,11097226467,,
PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BARANG LAINNYA,277949559,821863760,3406538065,4862799371,1803820432,93250326,273182176,871390524,7233410704,11087233359,37606092,457966216,78158099,22819619600,15070542046,49759310776,14603704235,133558345340,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR KERTAS, BARANG DARI KERTAS, ALAT TULIS, BARANG CETAKAN, ALAT OLAHRAGA, ALAT MUSIK, ALAT FOTOGRAFI DAN KOMPUTER",,52056402,628652674,1917544401,491223675,,,141105560,2399471093,5257924381,,,118530925,4165097728,351641654,24199395592,2732992059,42455636144,,
,,,,,,,,,,,,,,,,,,,,
PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR KOMODITI HASIL PERTANIAN,,,1852952724,12576401214,922541423,173165204,,,6736015513,137946391343,18543183,,,4913221811,41523466970,90358740771,5717233157,302738673313,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR MAKANAN, MINUMAN DAN PRODUK TEMBAKAU HASIL INDUSTRI PENGOLAHAN",188337486,1648685357,2702739513,16689687968,4308573144,,42277358,226670916,8876920629,29867261421,223726963,42818942,300570043,5153341081,5304218506,152711195016,7124657044,235411681387,,
PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR PERLENGKAPAN RUMAH TANGGA,16552016,751510944,4801414979,7307287334,3261068974,118495216,215077770,102198130,16960801309,9227597786,31728918,,33011362,7915984097,12840243937,53141721500,6524833010,123249527282,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR TEKSTIL, PAKAIAN DAN ALAS KAKI",,895047148,2363296077,11559151206,2544519235,173916011,331775845,126035948,14586353455,9846976533,69021183,106412481,39022018,4267691641,5478160234,49084344950,5406272020,106877995985,,
