Provinsi,Tahun,Bulan,Jenis Kredit/Pembiayaan,"Nominal Kredit 
(Rp Miliar)","Nominal NPL 
(Rp Miliar)",Nominal NPL Net (Rp Miliar),Jumlah Rekening UMKM
Jambi,2023,Oktober,Non UMKM,26836.41931341,460.525728405,213.099941977,177884
Bengkulu,2023,Oktober,Non UMKM,14585.862595876,217.938805483,88.539456607,113409
Sumatera Selatan,2023,November,Non UMKM,68369.578346936,2288.215375138,716.59799457,363787
KEPULAUAN BANGKA BELITUNG,2023,November,Non UMKM,9555.761786451,281.211655445,42.763195568,64821
Lampung,2023,November,Non UMKM,45729.003961155,775.791941755,246.622362329,249069
Jambi,2023,November,Non UMKM,27081.229441362,456.949629946,212.955156769,178760
Bengkulu,2023,November,Non UMKM,14839.056899949,213.336417526,85.469893212,114181
Sumatera Selatan,2023,Desember,Non UMKM,66869.291576398,2179.048903177,631.96037413,363053
KEPULAUAN BANGKA BELITUNG,2023,Desember,Non UMKM,9577.288279661,96.267548611,37.649124345,64574
Lampung,2023,Desember,Non UMKM,46533.045146605,588.596104034,242.074822359,249353
Jambi,2023,Desember,Non UMKM,27256.323038586,449.308225377,202.362510778,179080
Bengkulu,2023,Desember,Non UMKM,14908.373329644,203.427001153,78.725751196,114584
Sumatera Selatan,2024,Januari,Non UMKM,65927.317336937,2218.111442804,366.60247142,367408
KEPULAUAN BANGKA BELITUNG,2024,Januari,Non UMKM,9626.462431701,98.954468825,39.964328515,64927
Lampung,2024,Januari,Non UMKM,46126.712514974,610.34690941,254.860133267,250991
Jambi,2024,Januari,Non UMKM,27370.389317947,466.280687013,212.140691024,179606
Bengkulu,2024,Januari,Non UMKM,14920.90337414,207.29368553,78.150587659,115090
Sumatera Selatan,2024,Februari,Non UMKM,66196.927749742,2236.540172677,386.554484985,369599
KEPULAUAN BANGKA BELITUNG,2024,Februari,Non UMKM,9578.800890234,100.032759146,40.785778099,65548
Lampung,2024,Februari,Non UMKM,46014.232879613,625.709961943,263.316611604,253370
Jambi,2024,Februari,Non UMKM,27392.081188663,468.067392644,209.348341137,180831
Bengkulu,2024,Februari,Non UMKM,14985.902354556,203.492383708,81.801511537,115593
Sumatera Selatan,2024,Maret,Non UMKM,67240.202215666,2232.248014996,393.907132991,372129
KEPULAUAN BANGKA BELITUNG,2024,Maret,Non UMKM,9643.070488817,97.896179711,39.50130262,66153
Lampung,2024,Maret,Non UMKM,47046.694819203,624.549796026,260.031589472,256000
Jambi,2024,Maret,Non UMKM,27776.724215599,458.413961116,205.485995593,182471
Bengkulu,2024,Maret,Non UMKM,15091.901532881,195.66274536,78.288095579,116680
Sumatera Selatan,2024,April,Non UMKM,68233.114458645,2161.848590741,412.627290817,373571
KEPULAUAN BANGKA BELITUNG,2024,April,Non UMKM,9590.701085523,99.930332103,41.313738568,66435
Lampung,2024,April,Non UMKM,46986.68490141,613.2777933,248.160208863,256926
Jambi,2024,April,Non UMKM,27976.812586952,479.26923038,213.521106506,183054
Bengkulu,2024,April,Non UMKM,15190.187710219,204.058517905,85.886655725,117104
Sumatera Selatan,2024,Mei,Non UMKM,70449.99282666,2305.398687452,543.575777791,377168
KEPULAUAN BANGKA BELITUNG,2024,Mei,Non UMKM,9706.997635535,98.962551714,41.183713178,67043
Lampung,2024,Mei,Non UMKM,47598.505956589,622.39386598,256.386427062,259252
Jambi,2024,Mei,Non UMKM,28309.497877008,494.654027717,220.871974841,184439
Bengkulu,2024,Mei,Non UMKM,15311.075518259,202.362025511,90.199716713,117989
Sumatera Selatan,2024,Juni,Non UMKM,72630.507392158,1006.998676356,422.015147203,381884
KEPULAUAN BANGKA BELITUNG,2024,Juni,Non UMKM,9979.313334864,98.737629082,39.717738587,67523
