Negara,Provinsi,Tahun,Bulan,Total Aset,Giro,Tabungan,Deposito,Total DPK ,Modal Kerja,Investasi,Konsumsi,Total Kredit,Nominal NPL Gross,Rasio NPL Gross,Nominal NPL Net,Rasio NPL Net,Loan to Deposit Rastio (LDR)
INDONESIA,JAMBI,2023,Juni,53573.59202668,6968.013340694,24107.744422112002,13311.782942825,44387.54071,16056.486028368,12803.919359627,20949.418621835,49809.82401,1083.588495453,0.02175451363,479.768847292,0.009632012496,1.122157777
INDONESIA,JAMBI,2023,Juli,53048.272952891995,7237.420050306,24151.541711036003,13623.869501145,45012.83126,15432.549013782998,12150.123453866,21041.6114636,48624.28393,1108.332127616,0.02279379845,477.473175384,0.009819644358,1.080231627
INDONESIA,JAMBI,2023,Agustus,53556.182629354,7209.792495347,24114.899024499002,13460.708089831,44785.39961,15777.929853901,12345.805866751001,21177.994899486002,49301.73062,1123.159284307,0.02278133587,492.527359042,0.009990062273,1.100843825
INDONESIA,JAMBI,2023,September,53763.104271197,7002.211561838,23954.316596288,12829.377114138,43785.90527,15941.652150438,12606.133844823999,21288.973809478,49836.7598,1105.3130912870001,0.02217867084,469.376396145,0.00941827675,1.138191834
INDONESIA,JAMBI,2023,Oktober,55315.902695324,7530.179326177,24213.961611481,14364.436899024,46108.57784,15974.267125486002,12762.841341315001,21422.296750047997,50159.40522,1107.781869929,0.02208522739,517.150051752,0.01031013126,1.087854095
INDONESIA,JAMBI,2023,November,54989.911445032994,6988.20711212,24414.560583629,13325.429334257,44728.19703,16038.621681406,13264.864552232,21521.542071866,50825.02831,1096.380244301,0.02157166028,518.528215087,0.01020222187,1.136308451
INDONESIA,JAMBI,2023,Desember,56894.319263814,6340.884941443,24802.573421491,14338.263510966,45481.72187,16289.788383078001,13397.608007946,21598.963880303,51286.36027,1063.647160274,0.02073937699,514.578423931,0.0100334362,1.12762574
INDONESIA,JAMBI,2024,Januari,59317.396251722,7541.323930272,24489.551476618002,13024.531517884,45055.40692,16428.467422883,13663.683670906,25299.120392385998,55391.27149,1230.953912841,0.02222288602,599.593346008,0.01082469006,1.229403423
INDONESIA,JAMBI,2024,Februari,57815.237001859,7460.414925723,23764.023844364,15328.665925525,46553.1047,16094.752705672,13845.91706006,21766.995769455,51707.66554,1194.473824262,0.02310051734,574.10727213,0.01110294317,1.11072432
INDONESIA,JAMBI,2024,Maret,57368.335763788,7671.575633025,24071.628069738,14569.693855074,46312.89756,16211.218293797,14248.888788601,22070.451041007,52530.55812,1165.652131722,0.02218998186,552.846902074,0.01052429142,1.134253327
